nome,quantidade,valor_de_compra,valor_de_venda,ludopedia
SuperLemming,3,R$52.07,89.99,"https://ludopedia.com.br/jogo/superlemming#:~:text=%2Dlos...-,Superlemming%20%C3%A9%20um%20jogo%20de%20cartas%20r%C3%A1pido%20e%20divertido%20para,que%20ele%20pule%20das%20fal%C3%A9sias."
Me Enganei,5,R$18.22,89.99,https://ludopedia.com.br/jogo/me-enganei
Ito,10,R$11.45,129.99,https://ludopedia.com.br/jogo/ito
Street Art,2,R$72.89,249.99,https://ludopedia.com.br/jogo/street-art
Eletrika,1,R$41.65,159.99,https://ludopedia.com.br/jogo/eletrika
Tiny Epic Dinosaurs,1,R$13.01,229.99,https://ludopedia.com.br/jogo/tiny-epic-dinosaurs
Tortuga 2199 - Baia dos Destrocos,1,R$13.00,144.99,"https://ludopedia.com.br/jogo/tortuga-2199#:~:text=das%20diversas%20regi%C3%B5es.-,Tortuga%202199%20%C3%A9%20um%20jogo%20cheio%20de%20aventura%20e%20estrat%C3%A9gia,divers%C3%A3o%20com%20constru%C3%A7%C3%A3o%20de%20baralhos."
